,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
167,"Laugh Now Cry Later (feat. Lil Durk)",Drake,9114,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
168,Freaks,"Surf Curse",9114,https://open.spotify.com/track/0HUTL8i4y4MiGCPId7M7wb
169,"Daddy Issues","The Neighbourhood",9078,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
170,"Train Wreck","James Arthur",9076,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
171,"What’s Next",Drake,9065,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
172,ROXANNE,"Arizona Zervas",9045,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
173,"Techno Syndrome 2021 (Mortal Kombat)","Benjamin Wallfisch",9030,https://open.spotify.com/track/11KHnqxnmOx8W5PyplVGrO
174,"Gangsta's Paradise",Coolio,9026,https://open.spotify.com/track/7lQWRAjyhTpCWFC0jmclT4
175,"Stressed Out","Twenty One Pilots",8994,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
176,"Lonely (with benny blanco)","Justin Bieber",8955,https://open.spotify.com/track/3S8jK1mGzQi24ilFb45DAZ
177,"At My Worst","Pink Sweat$",8952,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
178,"Slumber Party (feat. Princess Nokia)",Ashnikko,8949,https://open.spotify.com/track/11ZulcYY4lowvcQm4oe3VJ
179,"Fady Shewaya","Hamza Namira",8904,https://open.spotify.com/track/3qRGs7H1bPfshHh19syRKQ
180,"Dusk Till Dawn (feat. Sia) - Radio Edit",ZAYN,8898,https://open.spotify.com/track/3e7sxremeOE3wTySiOhGiP
181,"مهرجان اخواتى","El Sawareekh",8888,https://open.spotify.com/track/44p2pP4M0J6ZlEEyIpQu6R
182,"Don't Let Me Down (feat. Daya)","The Chainsmokers",8874,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
183,Sofia,Clairo,8823,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
184,"Han AlAn","Adham Nabulsi",8769,https://open.spotify.com/track/2MaVjzNUXijqQM9ULZMRzq
185,changes,XXXTENTACION,8741,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
186,"Waed Menni","Rahma Riad",8731,https://open.spotify.com/track/3nMPlw2fMXGpbNSwZS7BBd
187,"Unlock it (Lock It) - feat. Kim Petras and Jay Park","Charli XCX",8653,https://open.spotify.com/track/3qGHAKgjQruzj6doKkyEb5
188,"ما تبتسم","محمد البريكي",8639,https://open.spotify.com/track/2WwJH3fRVOBwToPO6q2QCr
189,Gone,ROSÉ,8628,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
190,"Deep End",Fousheé,8614,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
191,"motive (with Doja Cat)","Ariana Grande",8612,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT
192,"وش غيرك","Abdullah Al Mukhles",8592,https://open.spotify.com/track/43DC8MX4z8kVFlJgsp2QC5
193,"ALL GIRLS ARE THE SAME",RØNIN,8486,https://open.spotify.com/track/4xhWfr0tyA7BGL7eXo8KnV
194,Starboy,"The Weeknd",8460,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
195,"It's You","Ali Gatie",8458,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
196,Señorita,"Shawn Mendes",8457,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
197,"Everything Black","Unlike Pluto",8330,https://open.spotify.com/track/3UEnF6y5tyHVtMzldS3svp
198,"7 rings","Ariana Grande",8329,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
199,"WAP (feat. Megan Thee Stallion)","Cardi B",8329,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
200,Circles,"Post Malone",8286,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
