,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
122,HOLIDAY,"Lil Nas X",9115,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
123,Streets,"Doja Cat",9113,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
124,"Therefore I Am","Billie Eilish",8972,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
125,"Kol Youm","Ahmed Saad",8946,https://open.spotify.com/track/3iWRuqeYt3ezyPOSdVo9Hz
126,"Ya Habibi","Mohamed Ramadan",8888,https://open.spotify.com/track/2sFUt05Px48xF7upMN4dGO
127,"Han AlAn","Adham Nabulsi",8841,https://open.spotify.com/track/2MaVjzNUXijqQM9ULZMRzq
128,ألو,Lege-Cy,8814,https://open.spotify.com/track/4YR8GummiH4MSwJ6Nwo9Vv
129,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,8764,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
130,"Ana Mesh Naguib Sawiris","Mohamed Kammah",8726,https://open.spotify.com/track/6x2NGy1xES5Ujzk2kNKIrd
131,"انتي معلمه","Omar Kamal",8705,https://open.spotify.com/track/4hblFPAEyTcgaMnaBNjx5Q
132,"Kaas - Freestyle","Marwan Pablo",8686,https://open.spotify.com/track/2Fbb3zoVgpNIM5WPrl08eY
133,"The Box","Roddy Ricch",8668,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
134,Law,"Mohammed Saeed",8658,https://open.spotify.com/track/6rB04mNPv6GJno2tabfyka
135,"Calling My Phone","Lil Tjay",8589,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
136,"you broke me first","Tate McRae",8518,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
137,"بلان بي",Lege-Cy,8499,https://open.spotify.com/track/6sUg0oDV2Cgok2M1S7iIsj
138,لغبطيطا,"Omar Kamal",8450,https://open.spotify.com/track/73wCLmIvEKJFU6aVHWsjjG
139,"Bel Bont El3areedh","Hussain Aljassmi",8442,https://open.spotify.com/track/4ZU4yHDLZcMcy8BF6Y89fu
140,"Knock Knock",Shehab,8373,https://open.spotify.com/track/5p909EaDfqXcmfASpAS3p9
141,Ghasheem,3enba,8333,https://open.spotify.com/track/1aCVsj9WeXLlj9psAGvw39
142,"Tgely Sob7",Abyusif,8313,https://open.spotify.com/track/25EnykkWUwgKCSRgT0D2hG
143,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,8288,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
