,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
135,"Take Me To Church",Hozier,9068,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
136,"Let Me Down Slowly","Alec Benjamin",8989,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
137,Byahe,"John Roa",8983,https://open.spotify.com/track/4v2yxWNY3WCzB0YS9QJZP4
138,"Be Kind (with Halsey)",Marshmello,8976,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
139,Starboy,"The Weeknd",8884,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
140,Paubaya,"Moira Dela Torre",8774,https://open.spotify.com/track/1NUw61RX4Wtmxw7CLiP4kP
141,"Follow You","Imagine Dragons",8771,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
142,"Adore You","Harry Styles",8747,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
143,"Otra Noche Sin Ti","J Balvin",8744,https://open.spotify.com/track/2CdTLdDjwZdVcm0bresVWx
144,"Cover Me In Sunshine",P!nk,8742,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
145,"Prisoner (feat. Dua Lipa)","Miley Cyrus",8706,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
146,Believer,"Imagine Dragons",8706,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
147,"Go Crazy","Chris Brown",8679,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
148,"Jalebi Baby",Tesher,8673,https://open.spotify.com/track/6GKGoi0FHzldk1ZRQoV1fv
149,Moonlight,XXXTENTACION,8646,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
150,"Something Just Like This","The Chainsmokers",8645,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
151,"I'm Yours","Jason Mraz",8585,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
152,"The Nights",Avicii,8573,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
153,"Breaking Me",Topic,8529,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
